"year","month","id","below","normal","above"
2006,1,"CristoRey",16.2445489645,27.793818607,55.9616324284
2006,1,"CubaHda",13.798441393,26.4049982312,59.7965603758
2006,1,"DoctrinaLa",12.5295027653,23.8581129975,63.6123842371
2006,1,"Galan",14.2296230652,21.84231704,63.9280598947
2006,1,"LimonEl",20.7261913069,31.0710730855,48.2027356076
2006,1,"Lorica",10.1615855402,23.7186932778,66.119721182
2006,1,"Maracayo",16.3929049593,24.7849195199,58.8221755208
2006,1,"Momil",16.5060627737,27.8256412303,55.6682959961
2006,1,"PajarosLos",20.3427780537,31.3496924063,48.30752954
2006,1,"Rabolargo",17.7314080013,29.7350712433,52.5335207553
2006,1,"Sabanal",10.6614690059,25.2248823659,64.1136486282
2006,1,"Sahagun",27.6057986795,28.0047069086,44.389494412
2006,1,"SaladoEl",9.60166071403,25.1476175258,65.2507217601
2006,1,"SanAnterito",12.5686641455,23.9801757093,63.4511601452
2006,1,"SanAntonio",21.196867049,32.7345553684,46.0685775826
2006,1,"SanBernardodelV",13.3959928796,25.9700717976,60.6339353228
2006,1,"SanCarlos",15.784956206,27.5920848377,56.6229589563
2006,1,"Turipana",12.8816398039,27.1598811273,59.9584790688
2006,1,"UnivdeCordoba",17.1499815579,26.5562456588,56.2937727833
2006,2,"AcaciasLasHda",44.1665907704,27.4995667396,28.33384249
2006,2,"ApartadaLa",42.5846384575,26.7790307002,30.6363308423
2006,2,"AptoLosGarzones",39.5331081726,27.4243962397,33.0424955876
2006,2,"Ayapel",38.8978633029,32.9143486717,28.1877880254
2006,2,"BocadeLaCeiba",33.7543361326,27.8375365684,38.408127299
2006,2,"BuenosAires",38.1495913234,29.7829432306,32.067465446
2006,2,"BuenosAires1",33.5194905681,28.4154669729,38.065042459
2006,2,"Caramelo",38.6680968803,30.043678973,31.2882241467
2006,2,"Carrillo",36.4850085655,30.3776909612,33.1373004733
2006,2,"Carrizal",41.6846382376,29.455245543,28.8601162194
2006,2,"Cecilia",42.5497874339,29.7265877978,27.7236247683
2006,2,"Cerete",40.0390344221,30.7529832764,29.2079823015
2006,2,"Chima",39.5493540622,29.9245007791,30.5261451588
2006,2,"Cintura",34.997737499,31.4076756312,33.5945868698
2006,2,"Coroza2",33.4432267188,30.9452274457,35.6115458355
2006,2,"CristoRey",39.8455486608,32.317570543,27.8368807963
2006,2,"CubaHda",44.4105491626,30.9722028638,24.6172479736
2006,2,"DoctrinaLa",36.0234403699,31.2346582286,32.7419014015
2006,2,"Galan",38.073455687,26.5836966445,35.3428476685
2006,2,"LimonEl",39.6327032496,29.1681667997,31.1991299507
2006,2,"Lorica",39.860438956,28.2422719448,31.8972890992
2006,2,"Maracayo",42.9008611471,26.1503999799,30.948738873
2006,2,"Momil",41.6629514813,30.5413836934,27.7956648254
2006,2,"PajarosLos",44.0224435423,26.6372943827,29.340262075
2006,2,"Rabolargo",43.4648939228,28.8767473496,27.6583587276
2006,2,"Sabanal",36.5717610781,27.6368685986,35.7913703233
2006,2,"Sahagun",42.1057729383,27.7197577975,30.1744692642
2006,2,"SaladoEl",43.1783597282,28.8908147703,27.9308255015
2006,2,"SanAnterito",35.7531169534,29.0063349613,35.2405480853
2006,2,"SanAntonio",35.5820955467,29.0379124085,35.3799920448
2006,2,"SanBernardodelV",33.4913913721,33.1507808683,33.3578277596
2006,2,"SanCarlos",42.9279506487,29.5691320042,27.5029173471
2006,2,"Turipana",38.9734660573,27.3318250053,33.6947089374
2006,2,"UnivdeCordoba",35.4342345234,25.5140608839,39.0517045927
