day,month,year,precip,tmax,tmin,srad
3,6,1980,4.6,31.4276991,20.4276991,15.01987798
4,6,1980,7.2,30.77664682,22.37664682,9.205982197
5,6,1980,2.2,28.83548055,21.63548055,16.4440082
6,6,1980,2.2,28.4920293,20.4920293,8.902721619
7,6,1980,0,29.95943916,21.55943916,13.81513503
8,6,1980,0,29.58217624,20.18217624,12.9383056
9,6,1980,0,31.11369854,21.91369854,16.35818291
10,6,1980,0,30.77765743,21.87765743,15.28648746
11,6,1980,0,30.52637387,21.82637387,15.98924311
12,6,1980,67,28.08322845,22.88322845,12.90562328
13,6,1980,28.2,30.31654905,20.91654905,15.39907263
14,6,1980,9.5,27.59780993,22.89780993,12.6526931
15,6,1980,0.5,29.79725649,20.39725649,15.65623031
16,6,1980,0,31.38785713,22.88785713,18.35725795
17,6,1980,2.5,29.89089349,21.09089349,16.1137802
18,6,1980,43.7,31.08706441,21.48706441,19.78923299
19,6,1980,0,31.02797919,20.82797919,20.26039785
20,6,1980,0,31.13189054,21.63189054,15.18327759
21,6,1980,0,30.14078588,20.94078588,16.13171123
22,6,1980,3.3,29.78360607,20.98360607,15.48674793
23,6,1980,59,28.84961094,19.84961094,14.86978873
24,6,1980,0,29.7831647,20.9831647,15.48037858
25,6,1980,0,31.06097438,21.86097438,18.24183786
26,6,1980,0,30.28414596,21.48414596,16.93148094
27,6,1980,39.7,29.39251809,20.59251809,16.52404704
28,6,1980,2.5,30.7834668,20.5834668,16.59443271
29,6,1980,1.5,28.98535507,20.98535507,14.71248131
30,6,1980,5.8,30.33169347,20.13169347,14.79842068
1,7,1980,4.1,30.0476988,22.8476988,17.01043331
2,7,1980,33,27.46590212,21.46590212,14.6484041
3,7,1980,11,29.09376957,18.99376957,15.49862254
4,7,1980,42.6,19.54730695,10.44730695,15.64309161
5,7,1980,0,29.44990349,19.94990349,8.870451879
6,7,1980,0.5,26.86732352,20.26732352,14.79300866
7,7,1980,0.2,29.54636676,20.94636676,11.62365404
8,7,1980,0.1,29.00435239,21.20435239,14.95487547
9,7,1980,11.1,29.42877845,22.12877845,9.323234326
10,7,1980,0,30.35961662,21.15961662,9.473798728
11,7,1980,3,30.40929446,21.50929446,14.98531667
12,7,1980,0,29.01165498,21.91165498,19.63648308
13,7,1980,13,27.21021601,20.21021601,22.84509416
14,7,1980,41.2,28.5245939,20.1245939,13.13201179
15,7,1980,1.4,29.43047066,20.03047066,9.217062707
16,7,1980,0,29.08271135,20.88271135,14.17290061
17,7,1980,3.9,29.23834952,21.83834952,13.31138987
18,7,1980,42.6,28.41533518,19.81533518,11.71919659
19,7,1980,1.7,29.27408829,20.47408829,20.63612113
20,7,1980,0,31.15816411,21.35816411,21.3878181
21,7,1980,0,31.74052726,22.74052726,9.849851397
22,7,1980,45,30.51843486,21.51843486,8.980136833
23,7,1980,0.7,30.26137509,21.66137509,15.88226944
24,7,1980,1.3,29.58627637,21.78627637,20.15784336
25,7,1980,59.5,28.75062947,22.45062947,17.53367368
26,7,1980,0,28.27005864,19.07005864,25.64988756
27,7,1980,28.9,29.75187499,21.35187499,24.05840958
28,7,1980,62.8,30.17172816,20.37172816,9.032696531
29,7,1980,46.5,27.52273212,20.02273212,20.86405451
30,7,1980,2.2,30.31286337,21.71286337,18.07719706
31,7,1980,12.2,31.51265713,20.51265713,15.57948877
1,8,1980,80.2,30.09715894,20.99715894,19.00965931
2,8,1980,29.8,29.03273236,20.33273236,13.53556146
3,8,1980,5.2,28.26449586,17.86449586,20.69104787
4,8,1980,0.2,30.85985324,22.05985324,21.31168069
5,8,1980,12.8,29.49455999,21.69455999,24.02206835
6,8,1980,5,28.54231663,21.84231663,10.60960206
7,8,1980,0,30.04360707,21.34360707,19.14526841
8,8,1980,1.6,27.27051529,21.47051529,9.134475339
9,8,1980,1.9,29.98802774,19.98802774,11.09291505
10,8,1980,15.7,29.54320421,21.84320421,24.4676571
11,8,1980,80.2,29.1482448,23.7482448,9.462161138
12,8,1980,26.5,28.81163238,20.01163238,17.14892277
13,8,1980,1.1,29.84413919,22.74413919,21.99140873
14,8,1980,5,31.57435669,21.87435669,12.05504094
15,8,1980,1.2,31.50664534,20.10664534,22.94755972
16,8,1980,0,30.68664426,20.08664426,14.96025182
