day,month,year,precip,tmax,tmin,srad
28,9,1980,2.4,32.61,22.5,17.50408482
29,9,1980,2.3,32.2,23.8,16.52484267
30,9,1980,0.4,32.4,23,14.43117101
1,10,1980,0,31.8,23.5,19.18621924
2,10,1980,0,32,23,20.5911957
3,10,1980,0,31.59,24,21.03914472
4,10,1980,1.9,35.2,23.7,22.91333428
5,10,1980,0.4,32,24.5,16.54034553
6,10,1980,0,32.1,23.6,19.52188143
7,10,1980,5.4,30.6,23.5,9.372065124
8,10,1980,0,32.1,22.5,17.2491052
9,10,1980,54.2,33.1,22.5,20.37396833
10,10,1980,2.3,31.8,22.5,15.14291686
11,10,1980,25.6,32.8,23.8,20.61981567
12,10,1980,0,32.2,23,14.77352693
13,10,1980,0,33.6,23.6,23.68389294
14,10,1980,8.7,34,24.8,13.93451111
15,10,1980,0,34.1,24.3,20.94218899
16,10,1980,0.9,30.2,23.4,9.976954169
17,10,1980,0,31,22,16.50049769
18,10,1980,2.6,28,23.2,12.73360773
19,10,1980,0,31.4,22.3,19.69684616
20,10,1980,1.9,33,23.5,15.31593862
21,10,1980,2.8,31,23.2,15.28418666
22,10,1980,0,31.9,22.8,18.03409145
23,10,1980,0.5,33.6,23.2,20.61987522
24,10,1980,0,32.6,23.6,20.27006234
25,10,1980,9.4,33.1,23.5,22.99589197
26,10,1980,9.9,29,22.3,8.98412803
27,10,1980,2,31.7,20.8,10.49439073
28,10,1980,0,31.6,23.5,22.54998476
29,10,1980,0,28.4,24.8,9.682466043
30,10,1980,48.7,30.4,22,13.92544915
31,10,1980,1.7,28.8,22,12.22191509
1,11,1980,0,32.2,22.2,15.23029271
2,11,1980,0,32.2,23.5,16.40940418
3,11,1980,0.1,31.6,23.6,15.46684314
4,11,1980,7.4,31.4,23,12.26335016
5,11,1980,22.3,30.6,22.8,16.00321729
6,11,1980,0,31.6,22.8,16.72131896
7,11,1980,0,32.2,22.6,21.04026424
8,11,1980,0,30.2,22.5,18.00032818
9,11,1980,0,30.2,22.5,18.26270825
10,11,1980,0,32,21.5,24.19900596
11,11,1980,0,32.4,22.4,15.95324468
12,11,1980,8,31.7,23.5,12.79617705
13,11,1980,0,31.7,22.5,20.64307057
14,11,1980,4.5,30.1,23.6,12.15088899
15,11,1980,0,31.6,23,16.86399828
16,11,1980,0,32.4,23,16.83219693
17,11,1980,0,32.5,21.2,23.14615511
18,11,1980,0,33.6,21.8,21.04291255
19,11,1980,0,33.3,22,21.88892113
20,11,1980,0,32.8,22.6,19.20822156
21,11,1980,0,33.4,24,18.14951256
22,11,1980,0,33.4,22.6,17.97327368
23,11,1980,0,34.2,24.5,16.92094368
24,11,1980,0,33.2,24,12.80580531
25,11,1980,0,30.4,22.3,13.66065628
26,11,1980,0,33.1,22.7,19.17440843
27,11,1980,0,33,23,16.38399125
28,11,1980,0.6,33,24,17.37861959
29,11,1980,0.1,32.4,23.4,12.85746509
30,11,1980,8.8,31.8,23,11.82616745
1,12,1980,0,33.5,22.5,19.34112548
2,12,1980,0,32.8,19,21.92343209
3,12,1980,0,33.1,21.8,21.0335049
